
----------------------------------------------- [START 2026-03-16 18:07:49] ---------------------------------------------------

Train Inter:400 | loss:  1.0072285 |BUAA_my_rm : 1.0003045 |CM : -0.012454453 |DM : 0.0069240686 |TA : 0.13832366 | 0 hr 01 min
Train Inter:500 | loss:  1.0318737 |BUAA_my_rm : 0.9999031 |CM : -0.012383253 |DM : 0.031970575 |TA : 0.1316824 | 0 hr 01 min
Train Inter:600 | loss:  1.0417709 |BUAA_my_rm : 1.0005425 |CM : -0.012921074 |DM : 0.041228376 |TA : 0.14512199 | 0 hr 01 min
Train Inter:700 | loss:  0.9916063 |BUAA_my_rm : 0.97961664 |CM : -0.01282721 |DM : 0.011989642 |TA : 0.13148165 | 0 hr 01 min
Train Inter:800 | loss:  1.1481923 |BUAA_my_rm : 1.0013213 |CM : -0.014414558 |DM : 0.14687094 |TA : 0.14074999 | 0 hr 02 min
Train Inter:900 | loss:  1.0407293 |BUAA_my_rm : 0.99876696 |CM : -0.014084486 |DM : 0.041962355 |TA : 0.1456995 | 0 hr 02 min
Train Inter:1000 | loss:  1.0126182 |BUAA_my_rm : 1.001663 |CM : -0.014025218 |DM : 0.010955193 |TA : 0.15453541 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 23:11:49] ---------------------------------------------------

Train Inter:0 | loss:  1.4996177 |BUAA_my_rm : 0.9939056 |CM : -0.011025163 |DM : 0.5057121 |TA : 0.06677997 | 0 hr 00 min
Train Inter:100 | loss:  1.0304915 |BUAA_my_rm : 1.0002432 |CM : -0.0123112155 |DM : 0.03024823 |TA : 0.12366307 | 0 hr 00 min
Train Inter:200 | loss:  1.0088319 |BUAA_my_rm : 1.0003341 |CM : -0.012257116 |DM : 0.008497697 |TA : 0.13744938 | 0 hr 00 min
Train Inter:300 | loss:  1.0255908 |BUAA_my_rm : 1.0012851 |CM : -0.012765836 |DM : 0.024305671 |TA : 0.13721669 | 0 hr 00 min
Train Inter:400 | loss:  1.0072285 |BUAA_my_rm : 1.0003045 |CM : -0.012454453 |DM : 0.0069240686 |TA : 0.13832366 | 0 hr 00 min
Train Inter:500 | loss:  1.0318737 |BUAA_my_rm : 0.9999031 |CM : -0.012383253 |DM : 0.031970575 |TA : 0.1316824 | 0 hr 01 min
Train Inter:600 | loss:  1.0417709 |BUAA_my_rm : 1.0005425 |CM : -0.012921074 |DM : 0.041228376 |TA : 0.14512199 | 0 hr 01 min
Train Inter:700 | loss:  0.9916063 |BUAA_my_rm : 0.97961664 |CM : -0.01282721 |DM : 0.011989642 |TA : 0.13148165 | 0 hr 01 min
Train Inter:800 | loss:  1.1481923 |BUAA_my_rm : 1.0013213 |CM : -0.014414558 |DM : 0.14687094 |TA : 0.14074999 | 0 hr 01 min
Train Inter:900 | loss:  1.0407293 |BUAA_my_rm : 0.99876696 |CM : -0.014084486 |DM : 0.041962355 |TA : 0.1456995 | 0 hr 02 min
Train Inter:1000 | loss:  1.0126182 |BUAA_my_rm : 1.001663 |CM : -0.014025218 |DM : 0.010955193 |TA : 0.15453541 | 0 hr 02 min

----------------------------------------------- [START 2026-03-18 14:33:32] ---------------------------------------------------


----------------------------------------------- [START 2026-03-18 14:33:39] ---------------------------------------------------

Train Inter:0 | loss:  1.3992689 |BUAA_my_rm : 0.98873836 |CM : -0.010594783 |DM : 0.41053054 |TA : 0.06478882 | 0 hr 00 min
Train Inter:100 | loss:  1.031217 |BUAA_my_rm : 0.9971478 |CM : -0.012048923 |DM : 0.03406913 |TA : 0.12163782 | 0 hr 00 min
Train Inter:200 | loss:  1.0273882 |BUAA_my_rm : 0.9991339 |CM : -0.011818945 |DM : 0.028254317 |TA : 0.122872114 | 0 hr 00 min
Train Inter:300 | loss:  1.0299248 |BUAA_my_rm : 1.0022911 |CM : -0.01231634 |DM : 0.02763369 |TA : 0.14129418 | 0 hr 00 min
Train Inter:400 | loss:  1.0319152 |BUAA_my_rm : 0.99949425 |CM : -0.012380749 |DM : 0.032420956 |TA : 0.13305306 | 0 hr 01 min
Train Inter:500 | loss:  1.0150188 |BUAA_my_rm : 0.9997456 |CM : -0.012194957 |DM : 0.015273258 |TA : 0.13996714 | 0 hr 01 min
Train Inter:600 | loss:  1.020629 |BUAA_my_rm : 1.0011351 |CM : -0.013014143 |DM : 0.019493898 |TA : 0.14826268 | 0 hr 01 min
Train Inter:700 | loss:  1.0032768 |BUAA_my_rm : 0.9960878 |CM : -0.0128864655 |DM : 0.0071890927 |TA : 0.14234853 | 0 hr 01 min
Train Inter:800 | loss:  1.0063784 |BUAA_my_rm : 0.9983565 |CM : -0.0124148 |DM : 0.008021894 |TA : 0.15290332 | 0 hr 02 min
Train Inter:900 | loss:  1.015149 |BUAA_my_rm : 1.0041625 |CM : -0.012103673 |DM : 0.010986483 |TA : 0.15381622 | 0 hr 02 min
Train Inter:1000 | loss:  0.9902645 |BUAA_my_rm : 0.9699304 |CM : -0.013443603 |DM : 0.020334069 |TA : 0.14815468 | 0 hr 02 min

----------------------------------------------- [START 2026-03-18 14:44:51] ---------------------------------------------------

Train Inter:0 | loss:  1.6728933 |BUAA_my_rm : 1.0009451 |CM : -0.01072612 |DM : 0.67194825 |TA : 0.06539172 | 0 hr 00 min
Train Inter:100 | loss:  1.0355079 |BUAA_my_rm : 1.001299 |CM : -0.011870004 |DM : 0.034208912 |TA : 0.1265688 | 0 hr 00 min

----------------------------------------------- [START 2026-03-18 14:46:01] ---------------------------------------------------

Train Inter:0 | loss:  1.6430881 |BUAA_my_rm : 1.0028726 |CM : -0.0099906195 |DM : 0.6402156 |TA : 0.06297976 | 0 hr 00 min
Train Inter:100 | loss:  1.0093327 |BUAA_my_rm : 0.9994112 |CM : -0.011912087 |DM : 0.009921479 |TA : 0.12875932 | 0 hr 00 min
Train Inter:200 | loss:  1.0559809 |BUAA_my_rm : 1.00205 |CM : -0.012140957 |DM : 0.05393086 |TA : 0.13381273 | 0 hr 00 min
Train Inter:300 | loss:  1.0383554 |BUAA_my_rm : 1.0015072 |CM : -0.012696768 |DM : 0.036848176 |TA : 0.13033372 | 0 hr 00 min
Train Inter:400 | loss:  1.0136248 |BUAA_my_rm : 0.9981932 |CM : -0.012238422 |DM : 0.01543158 |TA : 0.12860209 | 0 hr 01 min
Train Inter:500 | loss:  1.0115788 |BUAA_my_rm : 0.9970944 |CM : -0.012346907 |DM : 0.014484438 |TA : 0.14253724 | 0 hr 01 min
Train Inter:600 | loss:  1.0170174 |BUAA_my_rm : 1.0012246 |CM : -0.0138907535 |DM : 0.015792748 |TA : 0.14762437 | 0 hr 01 min
Train Inter:700 | loss:  1.0091606 |BUAA_my_rm : 1.0001142 |CM : -0.013230275 |DM : 0.0090463795 |TA : 0.14259869 | 0 hr 01 min
Train Inter:800 | loss:  1.0348701 |BUAA_my_rm : 1.0012162 |CM : -0.012851001 |DM : 0.033654027 |TA : 0.14171737 | 0 hr 02 min
Train Inter:900 | loss:  1.0191125 |BUAA_my_rm : 0.9938677 |CM : -0.013354155 |DM : 0.025244774 |TA : 0.15611023 | 0 hr 02 min

----------------------------------------------- [START 2026-03-18 14:55:25] ---------------------------------------------------

Train Inter:0 | loss:  1.3470414 |BUAA_my_rm : 0.99958843 |CM : -0.011633636 |DM : 0.3474529 |TA : 0.06686711 | 0 hr 00 min
